"Player","Number","Position","Height","Weight","Birth Date","Country","Experience","College","Rank.x","Age","Games","Games Started","Minutes Played","Field Goals","Field Goal Attempts","Field Goal Percentage","3-Point Field Goals","3-Point Field Goal Attempts","3-Point Field Goal Percentage","2-Point Field Goals","2-point Field Goal Attempts","2-Point Field Goal Percentage","Effective Field Goal Percentage","Free Throws","Free Throw Attempts","Free Throw Percentage","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls","Points","Rank.y","Salary"
"Walter Tavares",22,"C",2.23,117.93,1992-03-22,"CV",0,NA,17,23,11,0,73,11,19,0.579,0,0,NA,11,19,0.579,0.579,3,8,0.375,7,14,21,3,1,6,5,8,25,12,1e+06
"Amir Johnson",90,"PF",2.1,108.86,1987-05-01,"US",10,NA,6,28,79,76,1800,249,426,0.585,10,43,0.233,239,383,0.624,0.596,69,121,0.57,178,327,505,138,52,83,94,214,577,2,1.2e+07
"Avery Bradley",0,"SG",1.89,81.65,1990-11-26,"US",5,"University of Texas at Austin",2,25,76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155,3,7730337
"Corey Walden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,25000
"Coty Clarke",63,"SF",2.04,105.23,1992-07-04,"US",0,"University of Arkansas",16,23,3,0,6,2,4,0.5,2,2,1,0,2,0,0.75,0,0,NA,0,1,1,0,0,0,1,0,6,18,61776
"David Lee",42,"PF",2.1,111.13,1983-04-29,"US",10,"University of Florida",11,32,30,4,470,87,192,0.453,0,1,0,87,191,0.455,0.453,40,51,0.784,41,89,130,54,12,13,38,51,214,1,15493680
"Evan Turner",11,"SG",2.04,99.79,1988-10-27,"US",5,"Ohio State University",4,27,81,12,2271,343,753,0.456,20,83,0.241,323,670,0.482,0.469,148,179,0.827,50,347,397,359,80,28,169,139,854,8,3425510
"Isaiah Thomas",4,"PG",1.8,83.91,1989-02-07,"US",4,"University of Washington",1,26,82,79,2644,591,1382,0.428,167,465,0.359,424,917,0.462,0.488,474,544,0.871,46,197,243,509,91,9,220,167,1823,4,6912869
"Jae Crowder",99,"SF",2.01,106.59,1990-07-06,"US",3,"Marquette University",3,25,73,73,2308,360,813,0.443,122,363,0.336,238,450,0.529,0.518,196,239,0.82,70,303,373,135,126,35,83,198,1038,5,6e+06
"James Young",13,"SG",2.01,97.52,1995-08-16,"US",1,"University of Kentucky",14,20,29,0,199,11,36,0.306,6,26,0.231,5,10,0.5,0.389,1,4,0.25,4,22,26,9,6,1,5,17,29,15,1749840
"Jared Sullinger",7,"PF",2.1,117.93,1992-03-04,"US",3,"Ohio State University",5,23,81,73,1915,351,806,0.435,29,103,0.282,322,703,0.458,0.453,103,161,0.64,194,479,673,187,75,47,102,209,834,10,2269260
"John Holland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,9266
"Jonas Jerebko",8,"PF",1.86,104.78,1987-03-02,"SE",5,NA,9,28,78,0,1176,118,286,0.413,43,108,0.398,75,178,0.421,0.488,61,78,0.782,77,211,288,62,20,24,52,137,340,6,5e+06
"Jordan Mickey",55,"PF",2.07,106.59,1994-07-09,"US",0,"Louisiana State University",15,21,16,0,57,8,22,0.364,0,0,NA,8,22,0.364,0.364,5,10,0.5,6,7,13,1,0,11,1,5,21,16,1200000
"Kelly Olynyk",41,"C",2.13,107.95,1991-04-19,"CA",2,"Gonzaga University",8,24,69,8,1395,253,556,0.455,85,210,0.405,168,346,0.486,0.531,96,128,0.75,72,209,281,105,52,33,74,163,687,11,2165160
"Levi Randolph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,25000
"Malcolm Miller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25000
"Marcus Smart",36,"PG",1.95,99.79,1994-03-06,"US",1,"Oklahoma State University",7,21,61,10,1667,184,529,0.348,61,241,0.253,123,288,0.427,0.405,129,166,0.777,76,179,255,185,91,18,80,183,558,7,3431040
"Perry Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2038206
"R.J. Hunter",28,"SG",1.98,83.91,1993-10-24,"US",0,"Georgia State University",12,22,36,0,315,36,98,0.367,19,63,0.302,17,35,0.486,0.464,6,7,0.857,2,35,37,13,14,4,11,29,97,17,1148640
"Terry Rozier",12,"PG",1.89,86.18,1994-03-17,"US",0,"University of Louisville",13,21,39,0,311,29,106,0.274,6,27,0.222,23,79,0.291,0.302,8,10,0.8,24,39,63,37,6,1,19,23,72,14,1824360
"Tyler Zeller",44,"C",2.13,114.76,1990-01-17,"US",3,"University of North Carolina",10,26,60,3,710,138,290,0.476,0,0,NA,138,290,0.476,0.476,88,108,0.815,62,116,178,29,10,22,46,97,364,9,2616975
"Zoran Dragic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2050397
"Andrea Bargnani",9,"C",2.13,111.13,1985-10-26,"IT",9,NA,11,30,46,0,634,127,279,0.455,3,16,0.188,124,263,0.471,0.461,47,57,0.825,28,69,97,18,4,9,26,61,304,10,1362900
"Bojan Bogdanovic",44,"SF",2.07,97.98,1989-04-18,"BA",1,NA,3,26,79,39,2115,324,749,0.433,129,338,0.382,195,411,0.474,0.519,110,132,0.833,36,219,255,99,29,5,115,119,887,6,3425510
"Brook Lopez",11,"C",2.13,124.74,1988-04-01,"US",7,"Stanford University",1,27,73,73,2457,591,1157,0.511,2,14,0.143,589,1143,0.515,0.512,317,403,0.787,204,369,573,147,58,124,175,215,1501,2,2e+07
"Chris McCullough",1,"PF",1.86,90.72,1995-02-05,"US",0,"Syracuse University",16,20,24,4,362,44,109,0.404,13,34,0.382,31,75,0.413,0.463,11,23,0.478,25,43,68,9,28,12,15,39,112,12,1140240
"Deron Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5500000
"Donald Sloan",15,"PG",1.92,92.99,1988-01-15,"US",4,"Texas A&M University",7,28,61,33,1318,154,350,0.44,38,99,0.384,116,251,0.462,0.494,78,104,0.75,17,156,173,268,32,4,80,73,424,13,1015421
"Henry Sims",14,"C",1.86,112.49,1990-03-27,"US",3,"Georgetown University",17,25,14,4,263,33,77,0.429,0,0,NA,33,77,0.429,0.429,25,30,0.833,21,51,72,9,9,14,12,37,91,18,161622
"Jarrett Jack",2,"PG",1.92,90.72,1983-10-28,"US",10,"Georgia Institute of Technology",8,32,32,32,1027,140,358,0.391,31,102,0.304,109,256,0.426,0.434,100,112,0.893,9,127,136,236,34,7,94,77,411,4,6300000
"Joe Johnson",7,"SF",2.04,108.86,1981-06-29,"US",14,"University of Arkansas",4,34,57,57,1934,247,608,0.406,85,229,0.371,162,379,0.427,0.476,92,108,0.852,34,190,224,232,40,2,116,100,671,1,24894863
"Markel Brown",22,"SG",1.92,86.18,1992-01-29,"US",1,"Oklahoma State University",9,24,62,6,982,127,322,0.394,38,121,0.314,89,201,0.443,0.453,71,94,0.755,23,99,122,91,38,15,54,94,363,16,845059
"Quincy Miller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,50000
"Rondae Hollis-Jefferson",24,"SF",2.04,99.79,1995-01-03,"US",0,"University of Arizona",12,21,29,17,615,63,138,0.457,4,14,0.286,59,124,0.476,0.471,37,52,0.712,39,115,154,43,39,16,26,61,167,11,1335480
"Ryan Boatright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,75000
"Sean Kilpatrick",6,"SG",1.95,95.25,1990-01-06,"US",1,"University of Cincinnati",13,26,23,0,534,115,249,0.462,35,97,0.361,80,152,0.526,0.532,53,59,0.898,10,40,50,26,10,2,27,30,318,17,320594
"Sergey Karasev",10,"SF",2.04,94.35,1993-10-26,"RU",2,NA,15,22,40,5,399,30,74,0.405,11,37,0.297,19,37,0.514,0.48,26,28,0.929,8,50,58,35,6,2,22,27,97,7,1599840
"Shane Larkin",0,"PG",1.56,79.38,1992-10-02,"US",2,"University of Miami",5,23,78,17,1751,222,502,0.442,39,108,0.361,183,394,0.464,0.481,83,107,0.776,28,152,180,342,95,12,146,121,566,8,1500000
"Thaddeus Young",30,"PF",2.07,100.24,1988-06-21,"US",8,"Georgia Institute of Technology",2,27,73,73,2407,495,963,0.514,7,30,0.233,488,933,0.523,0.518,105,163,0.644,176,484,660,135,112,37,136,182,1102,3,11200000
"Thomas Robinson",41,"PF",1.86,107.5,1991-03-17,"US",3,"University of Kansas",10,24,71,7,917,130,291,0.447,0,1,0,130,290,0.448,0.447,47,109,0.431,136,223,359,46,39,36,69,111,307,14,981300
"Wayne Ellington",21,"SG",1.95,90.72,1987-10-29,"US",6,"University of North Carolina",6,28,76,41,1615,218,561,0.389,96,268,0.358,122,293,0.416,0.474,54,63,0.857,20,154,174,83,48,5,45,82,586,9,1500000
"Willie Reed",33,"PF",1.86,99.79,1990-05-16,"US",0,"Saint Louis University",14,25,39,2,426,76,133,0.571,0,0,NA,76,133,0.571,0.571,30,55,0.545,49,73,122,10,6,30,16,47,182,15,947276
"Aaron Brooks",0,"PG",1.83,73.03,1985-01-14,"US",7,"University of Oregon",9,31,69,0,1108,188,469,0.401,66,185,0.357,122,284,0.43,0.471,49,64,0.766,21,80,101,180,30,10,82,132,491,9,2e+06
"Bobby Portis",5,"PF",1.86,104.33,1995-02-10,"US",0,"University of Arkansas",10,20,62,4,1102,186,436,0.427,16,52,0.308,170,384,0.443,0.445,48,66,0.727,123,214,337,52,25,22,54,100,436,11,1391160
"Cameron Bairstow",41,"C",2.1,113.4,1990-12-07,"AU",1,"University of New Mexico",16,25,18,2,103,13,40,0.325,1,5,0.2,12,35,0.343,0.338,7,8,0.875,4,24,28,6,2,3,4,19,34,14,845059
"Cristiano Felicio",6,"C",1.86,124.74,1992-07-07,"BR",0,NA,15,23,31,4,321,40,72,0.556,0,4,0,40,68,0.588,0.556,25,35,0.714,30,72,102,26,6,13,13,31,105,15,525090
"Derrick Rose",1,"PG",1.92,86.18,1988-10-04,"US",6,"University of Memphis",3,27,66,66,2097,447,1048,0.427,44,150,0.293,403,898,0.449,0.448,142,179,0.793,46,179,225,311,44,14,175,84,1080,1,20093063
"Doug McDermott",3,"SF",2.07,102.06,1992-01-03,"US",1,"Creighton University",5,24,81,4,1861,291,644,0.452,110,259,0.425,181,385,0.47,0.537,72,84,0.857,37,158,195,59,14,6,53,127,764,8,2380440
"E'Twaun Moore",55,"SG",1.95,86.64,1989-02-28,"US",4,"Purdue University",8,26,59,22,1263,187,389,0.481,47,104,0.452,140,285,0.491,0.541,22,35,0.629,19,114,133,99,37,18,53,103,443,12,1015421
"Jimmy Butler",21,"SG",2.04,99.79,1989-09-14,"US",4,"Marquette University",1,26,67,67,2474,470,1035,0.454,64,205,0.312,406,830,0.489,0.485,395,475,0.832,79,279,358,321,110,43,132,124,1399,2,15260000
"Joakim Noah",13,"C",1.86,104.33,1985-02-25,"US",8,"University of Florida",12,30,29,2,635,51,133,0.383,0,1,0,51,132,0.386,0.383,22,45,0.489,87,168,255,110,18,29,52,77,124,3,13400000
"Justin Holiday",7,"SG",2.01,83.91,1989-04-05,"US",2,"University of Washington",14,26,27,4,510,64,155,0.413,26,60,0.433,38,95,0.4,0.497,22,27,0.815,8,55,63,45,19,15,26,40,176,13,947300
"Kirk Hinrich",12,"PG",1.95,86.18,1981-01-02,"US",12,"University of Kansas",13,35,35,7,555,47,118,0.398,23,56,0.411,24,62,0.387,0.496,15,16,0.938,7,51,58,59,13,1,27,63,132,NA,NA
"Mike Dunleavy",34,"SF",2.1,104.33,1980-09-15,"US",13,"Duke University",11,35,31,30,703,77,188,0.41,39,99,0.394,38,89,0.427,0.513,29,37,0.784,8,75,83,39,14,10,26,66,222,7,4500000
"Nikola Mirotic",44,"PF",1.86,99.79,1991-02-11,"ME",1,NA,6,24,66,38,1646,248,609,0.407,135,346,0.39,113,263,0.43,0.518,146,181,0.807,58,304,362,100,58,46,102,151,777,6,5543725
"Pau Gasol",16,"C",2.13,113.4,1980-07-06,"ES",14,NA,2,35,72,72,2291,467,995,0.469,24,69,0.348,443,926,0.478,0.481,229,289,0.792,155,638,793,294,42,146,164,148,1187,5,7448760
"Taj Gibson",22,"PF",2.1,102.06,1985-06-24,"US",6,"University of Southern California",4,30,73,55,1936,263,500,0.526,0,3,0,263,497,0.529,0.526,101,146,0.692,206,298,504,106,47,77,78,180,627,4,8500000
"Tony Snell",20,"SF",2.04,90.72,1991-11-10,"US",2,"University of New Mexico",7,24,64,33,1301,126,339,0.372,56,155,0.361,70,184,0.38,0.454,30,33,0.909,19,180,199,63,16,17,52,100,338,10,1535880
"Aaron Harrison",9,"SG",2.01,95.25,1994-10-28,"US",0,"University of Kentucky",16,21,21,0,93,5,19,0.263,3,10,0.3,2,9,0.222,0.342,5,12,0.417,4,11,15,2,6,0,4,10,18,14,525093
"Al Jefferson",25,"C",1.86,131.09,1985-01-04,"US",11,NA,8,31,47,18,1096,245,505,0.485,0,0,NA,245,505,0.485,0.485,72,111,0.649,57,244,301,70,30,41,34,117,562,1,13833333
"Brian Roberts",22,"PG",1.86,78.47,1985-12-03,"US",3,"University of Dayton",14,30,30,0,333,51,115,0.443,9,27,0.333,42,88,0.477,0.483,34,37,0.919,4,25,29,38,7,1,16,23,145,NA,NA
"Cody Zeller",40,"C",2.13,108.86,1992-10-05,"US",2,"Indiana University",5,23,73,60,1774,231,437,0.529,1,10,0.1,230,427,0.539,0.53,175,232,0.754,138,317,455,71,57,63,68,204,638,8,4204200
"Courtney Lee",1,"SG",1.98,90.72,1985-10-03,"US",7,"Western Kentucky University",11,30,28,28,845,98,220,0.445,31,79,0.392,67,141,0.475,0.516,23,26,0.885,10,77,87,60,33,12,23,55,250,6,5675000
"Elliot Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,80000
"Frank Kaminsky",44,"C",2.13,109.77,1993-04-04,"US",0,"University of Wisconsin",6,22,81,3,1708,215,525,0.41,68,202,0.337,147,323,0.455,0.474,108,148,0.73,69,266,335,98,38,43,58,126,606,10,2612500
"Jeremy Lamb",3,"SG",1.98,83.91,1992-05-30,"US",3,"University of Connecticut",7,23,66,0,1227,230,510,0.451,56,181,0.309,174,329,0.529,0.506,64,88,0.727,44,208,252,77,42,30,50,105,580,9,3034356
"Jeremy Lin",7,"SG",1.92,90.72,1988-08-23,"US",5,"Harvard University",4,27,78,13,2048,300,728,0.412,76,226,0.336,224,502,0.446,0.464,238,292,0.815,42,211,253,235,58,42,150,165,914,11,2100000
"Jorge Gutierrez",12,"PG",1.92,86.64,1988-12-27,"MX",2,"University of California",17,27,12,0,63,6,11,0.545,0,2,0,6,9,0.667,0.545,10,11,0.909,0,7,7,17,3,0,6,3,22,15,301444
"Kemba Walker",15,"PG",1.86,78.02,1990-05-08,"US",4,"University of Connecticut",1,25,81,81,2885,568,1331,0.427,182,490,0.371,386,841,0.459,0.495,371,438,0.847,56,301,357,421,126,39,171,111,1689,3,1.2e+07
"Marvin Williams",2,"PF",2.1,107.5,1986-06-19,"US",10,"University of North Carolina",3,29,81,81,2338,338,747,0.452,152,378,0.402,186,369,0.504,0.554,120,144,0.833,127,394,521,110,58,77,62,133,948,4,7e+06
"Michael Kidd-Gilchrist",14,"SF",2.04,105.23,1993-09-26,"US",3,"University of Kentucky",15,22,7,7,205,33,61,0.541,3,7,0.429,30,54,0.556,0.566,20,29,0.69,12,33,45,9,3,3,8,9,89,5,6331404
"Nicolas Batum",5,"SF",2.07,90.72,1988-12-14,"FR",7,NA,2,27,70,70,2448,372,873,0.426,139,399,0.348,233,474,0.492,0.506,163,192,0.849,55,373,428,403,65,43,205,114,1046,2,12235750
"P.J. Hairston",19,"SF",2.01,104.33,1992-12-24,"US",1,"University of North Carolina",10,23,48,43,938,99,276,0.359,54,172,0.314,45,104,0.433,0.457,34,42,0.81,18,110,128,29,24,7,24,106,286,NA,NA
"Spencer Hawes",0,"PF",2.16,111.13,1988-04-28,"US",8,"University of Washington",9,27,57,6,1035,124,306,0.405,38,102,0.373,86,204,0.422,0.467,54,65,0.831,51,193,244,109,22,27,58,111,340,7,5543725
"Troy Daniels",30,"SG",1.95,92.99,1991-07-15,"US",2,"Virginia Commonwealth University",12,24,43,0,476,89,187,0.476,59,122,0.484,30,65,0.462,0.634,5,9,0.556,7,50,57,21,11,3,24,40,242,13,947276
"Tyler Hansbrough",50,"PF",2.1,113.4,1985-11-03,"US",6,"University of North Carolina",13,30,44,0,343,32,71,0.451,2,3,0.667,30,68,0.441,0.465,38,65,0.585,40,49,89,8,12,7,12,55,104,12,1185784
