"Player","Number","Position","Height","Weight","Birth Date","Country","Experience","College","Rank.x","Age","Games","Games Started","Minutes Played","Field Goals","Field Goal Attempts","Field Goal Percentage","3-Point Field Goals","3-Point Field Goal Attempts","3-Point Field Goal Percentage","2-Point Field Goals","2-point Field Goal Attempts","2-Point Field Goal Percentage","Effective Field Goal Percentage","Free Throws","Free Throw Attempts","Free Throw Percentage","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls","Points","Rank.y","Salary"
"Walter Tavares",22,"C",2.23,117.93,1992-03-22,"CV",0,NA,17,23,11,0,73,11,19,0.579,0,0,NA,11,19,0.579,0.579,3,8,0.375,7,14,21,3,1,6,5,8,25,12,1e+06
"Amir Johnson",90,"PF",2.1,108.86,1987-05-01,"US",10,NA,6,28,79,76,1800,249,426,0.585,10,43,0.233,239,383,0.624,0.596,69,121,0.57,178,327,505,138,52,83,94,214,577,2,1.2e+07
"Avery Bradley",0,"SG",1.89,81.65,1990-11-26,"US",5,"University of Texas at Austin",2,25,76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155,3,7730337
"Corey Walden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,25000
"Coty Clarke",63,"SF",2.04,105.23,1992-07-04,"US",0,"University of Arkansas",16,23,3,0,6,2,4,0.5,2,2,1,0,2,0,0.75,0,0,NA,0,1,1,0,0,0,1,0,6,18,61776
"David Lee",42,"PF",2.1,111.13,1983-04-29,"US",10,"University of Florida",11,32,30,4,470,87,192,0.453,0,1,0,87,191,0.455,0.453,40,51,0.784,41,89,130,54,12,13,38,51,214,1,15493680
"Evan Turner",11,"SG",2.04,99.79,1988-10-27,"US",5,"Ohio State University",4,27,81,12,2271,343,753,0.456,20,83,0.241,323,670,0.482,0.469,148,179,0.827,50,347,397,359,80,28,169,139,854,8,3425510
"Isaiah Thomas",4,"PG",1.8,83.91,1989-02-07,"US",4,"University of Washington",1,26,82,79,2644,591,1382,0.428,167,465,0.359,424,917,0.462,0.488,474,544,0.871,46,197,243,509,91,9,220,167,1823,4,6912869
"Jae Crowder",99,"SF",2.01,106.59,1990-07-06,"US",3,"Marquette University",3,25,73,73,2308,360,813,0.443,122,363,0.336,238,450,0.529,0.518,196,239,0.82,70,303,373,135,126,35,83,198,1038,5,6e+06
"James Young",13,"SG",2.01,97.52,1995-08-16,"US",1,"University of Kentucky",14,20,29,0,199,11,36,0.306,6,26,0.231,5,10,0.5,0.389,1,4,0.25,4,22,26,9,6,1,5,17,29,15,1749840
"Jared Sullinger",7,"PF",2.1,117.93,1992-03-04,"US",3,"Ohio State University",5,23,81,73,1915,351,806,0.435,29,103,0.282,322,703,0.458,0.453,103,161,0.64,194,479,673,187,75,47,102,209,834,10,2269260
"John Holland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,9266
"Jonas Jerebko",8,"PF",1.86,104.78,1987-03-02,"SE",5,NA,9,28,78,0,1176,118,286,0.413,43,108,0.398,75,178,0.421,0.488,61,78,0.782,77,211,288,62,20,24,52,137,340,6,5e+06
"Jordan Mickey",55,"PF",2.07,106.59,1994-07-09,"US",0,"Louisiana State University",15,21,16,0,57,8,22,0.364,0,0,NA,8,22,0.364,0.364,5,10,0.5,6,7,13,1,0,11,1,5,21,16,1200000
"Kelly Olynyk",41,"C",2.13,107.95,1991-04-19,"CA",2,"Gonzaga University",8,24,69,8,1395,253,556,0.455,85,210,0.405,168,346,0.486,0.531,96,128,0.75,72,209,281,105,52,33,74,163,687,11,2165160
"Levi Randolph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,25000
"Malcolm Miller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25000
"Marcus Smart",36,"PG",1.95,99.79,1994-03-06,"US",1,"Oklahoma State University",7,21,61,10,1667,184,529,0.348,61,241,0.253,123,288,0.427,0.405,129,166,0.777,76,179,255,185,91,18,80,183,558,7,3431040
"Perry Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2038206
"R.J. Hunter",28,"SG",1.98,83.91,1993-10-24,"US",0,"Georgia State University",12,22,36,0,315,36,98,0.367,19,63,0.302,17,35,0.486,0.464,6,7,0.857,2,35,37,13,14,4,11,29,97,17,1148640
"Terry Rozier",12,"PG",1.89,86.18,1994-03-17,"US",0,"University of Louisville",13,21,39,0,311,29,106,0.274,6,27,0.222,23,79,0.291,0.302,8,10,0.8,24,39,63,37,6,1,19,23,72,14,1824360
"Tyler Zeller",44,"C",2.13,114.76,1990-01-17,"US",3,"University of North Carolina",10,26,60,3,710,138,290,0.476,0,0,NA,138,290,0.476,0.476,88,108,0.815,62,116,178,29,10,22,46,97,364,9,2616975
"Zoran Dragic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2050397
