[1] "Player"
                   Player n
             Jordan Adams 1
          Jordan Clarkson 1
            Jordan Farmar 1
          Jordan Hamilton 1
              Jordan Hill 1
             Jordan McRae 2
            Jordan Mickey 1
            Jordan Sibert 1
          Jorge Gutierrez 1
            Jose Calderon 1
             Joseph Young 1
             Josh Huestis 1
           Josh McRoberts 1
          Josh Richardson 1
               Josh Smith 3
             Jrue Holiday 1
            Julius Randle 1
          Justin Anderson 1
            Justin Harper 1
           Justin Holiday 2
          Justise Winslow 1
             Jusuf Nurkic 1
           K.J. McDaniels 1
       Karl-Anthony Towns 1
            Kawhi Leonard 1
            Keith Appling 1
             Kelly Olynyk 1
              Kelly Oubre 1
             Kemba Walker 1
         Kendall Marshall 1
         Kendrick Perkins 1
           Kenneth Faried 1
            Kent Bazemore 1
 Kentavious Caldwell-Pope 1
             Kevin Durant 1
            Kevin Garnett 1
               Kevin Love 1
             Kevin Martin 2
           Kevin Seraphin 1
             Kevon Looney 1
          Khris Middleton 1
             Kirk Hinrich 2
            Klay Thompson 1
              Kobe Bryant 1
             Kosta Koufos 1
      Kostas Papanikolaou 1
           Kris Humphries 3
       Kristaps Porzingis 1
            Kyle Anderson 1
              Kyle Korver 1
               Kyle Lowry 1
             Kyle O'Quinn 1
             Kyle Singler 1
             Kyrie Irving 1
          Lamar Patterson 1
        LaMarcus Aldridge 1
         Lance Stephenson 2
             Lance Thomas 1
        Langston Galloway 1
          Larry Nance Jr. 1
            Larry Sanders 1
              Lavoy Allen 1
          Leandro Barbosa 1
             LeBron James 1
            Levi Randolph 1
            Lorenzo Brown 2
             Lou Amundson 1
             Lou Williams 1
         Luc Mbah a Moute 1
           Lucas Nogueira 1
             Luis Montero 1
               Luis Scola 1
             Luke Babbitt 1
                Luol Deng 1
           Malcolm Miller 1
            Manu Ginobili 1
               Marc Gasol 1
          Marcelo Huertas 1
            Marcin Gortat 1
          Marco Belinelli 1
            Marcus Morris 1
             Marcus Smart 1
          Marcus Thornton 2
           Mario Chalmers 2
            Mario Hezonja 1
             Markel Brown 1
          Markieff Morris 2
        Marreese Speights 1
       Marshall Henderson 1
          Martell Webster 1
          Marvin Williams 1
            Mason Plumlee 1
              Matt Barnes 1
              Matt Bonner 1
      Matthew Dellavedova 1
         Maurice Harkless 1
            Maurice Ndour 1
        Metta World Peace 1
           Meyers Leonard 1
          Michael Beasley 1
  Michael Carter-Williams 1
          Michael Frazier 1
   Michael Kidd-Gilchrist 1
            Michale Kyser 1
              Mike Conley 1
            Mike Dunleavy 1
              Mike Miller 2
             Mike Muscala 1
               Mike Scott 1
            Miles Plumlee 1
       Miroslav Raduljica 1
          Mirza Teletovic 1
             Mitch McGary 1
              Mo Williams 1
              Monta Ellis 1
         Montrezl Harrell 1
             Myles Turner 1
            Nate Robinson 1
            Nazr Mohammed 1
          Nemanja Bjelica 1
             Nene Hilario 1
             Nerlens Noel 1
            Nick Collison 1
             Nick Johnson 1
               Nick Young 1
            Nicolas Batum 1
             Nik Stauskas 1
             Nikola Jokic 1
           Nikola Mirotic 1
           Nikola Pekovic 1
           Nikola Vucevic 1
              Noah Vonleh 1
            Norman Powell 1
              Norris Cole 1
                O.J. Mayo 1
                Omer Asik 1
              Omri Casspi 1
          Orlando Johnson 2
              Otto Porter 1
            P.J. Hairston 2
              P.J. Tucker 1
           Pablo Prigioni 1
          Pat Connaughton 1
         Patrick Beverley 1
            Patrick Mills 1
        Patrick Patterson 1
                Pau Gasol 1
              Paul George 1
             Paul Millsap 1
              Paul Pierce 1
              Perry Jones 1
             Phil Pressey 2
           Pierre Jackson 1
               Quincy Acy 1
            Quincy Miller 1
         Quincy Pondexter 1
              R.J. Hunter 1
              Rajon Rondo 1
         Rakeem Christmas 1
           Ramon Sessions 1
               Randy Foye 2
            Rashad Vaughn 1
            Rasual Butler 1
                Raul Neto 1
             Ray McCallum 2
           Raymond Felton 1
           Reggie Bullock 1
           Reggie Jackson 1
        Richard Jefferson 1
           Richaun Holmes 1
              Ricky Rubio 1
         Robert Covington 1
             Robert Sacre 1
            Robert Upshaw 1
              Robin Lopez 1
              Rodney Hood 1
           Rodney Stuckey 1
           Ronald Roberts 1
  Rondae Hollis-Jefferson 1
             Ronnie Price 1
              Roy Hibbert 1
                 Rudy Gay 1
              Rudy Gobert 1
               Russ Smith 1
        Russell Westbrook 1
            Ryan Anderson 1
           Ryan Boatright 1
             Ryan Hollins 2
               Ryan Kelly 1
              Salah Mejri 1
               Sam Dekker 1
         Samuel Dalembert 1
               Sasha Kaun 1
            Sasha Vujacic 1
          Sean Kilpatrick 2
              Serge Ibaka 1
           Sergey Karasev 1
               Seth Curry 1
         Shabazz Muhammad 1
           Shabazz Napier 1
             Shane Larkin 1
            Shannon Scott 1
         Shaun Livingston 1
       Shayne Whittington 1
             Shelvin Mack 2
             Solomon Hill 1
              Sonny Weems 2
        Spencer Dinwiddie 1
            Spencer Hawes 1
          Stanley Johnson 1
            Stephen Curry 1
              Steve Blake 1
              Steve Novak 3
             Steven Adams 1
           T.J. McConnell 1
              T.J. Warren 1
               Taj Gibson 1
              Tarik Black 1
          Tayshaun Prince 1
          Terran Petteway 1
           Terrence Jones 1
            Terrence Ross 1
             Terry Rozier 1
          Thabo Sefolosha 1
           Thaddeus Young 1
   Thanasis Antetokounmpo 1
          Thomas Robinson 1
           Tiago Splitter 1
             Tibor Pleiss 1
               Tim Duncan 1
              Tim Frazier 2
             Tim Hardaway 1
           Timofey Mozgov 1
            Tobias Harris 2
            Toney Douglas 2
               Tony Allen 1
              Tony Parker 1
               Tony Snell 1
              Tony Wroten 2
             Travis Trice 1
           Treveon Graham 1
             Trevor Ariza 1
            Trevor Booker 1
               Trey Burke 1
               Trey Lyles 1
         Tristan Thompson 1
             Troy Daniels 1
                Ty Lawson 2
              Tyler Ennis 1
 [ reached getOption("max.print") -- omitted 24 rows ]
[1] "Team"
 Team  n
  ATL 18
  BOS 22
  BRK 20
  CHI 16
  CHO 18
  CLE 18
  DAL 22
  DEN 23
  DET 23
  GSW 16
  HOU 18
  IND 17
  LAC 20
  LAL 18
  MEM 28
  MIA 20
  MIL 18
  MIN 17
  NOP 23
  NYK 20
  OKC 17
  ORL 21
  PHI 23
  PHO 24
  POR 18
  SAC 18
  SAS 18
  TOR 20
  UTA 21
  WAS 20
[1] "Position"
 Position   n
        C  96
       PF 112
       PG 112
       SF 101
       SG 107
     <NA>  67
[1] "Country"
 Country   n
      AR   3
      AU   6
      BA   3
      BE   1
      BR  10
      CA  11
      CD   2
      CG   1
      CH   4
      CM   1
      CV   1
      DE   3
      DO   2
      ES   4
      FR   8
      GE   1
      GF   2
      GR   3
      HR   3
      IL   1
      IT   4
      LT   2
      LV   1
      ME   2
      MX   1
      NG   1
      NZ   2
      PL   1
      PR   1
      RS   3
      RU   3
      SE   1
      SI   4
      SN   1
      SS   1
      TN   1
      TR   3
      UA   1
      US 423
      VE   1
      VI   1
    <NA>  67
[1] "College"
                                             College   n
                            Arizona State University   2
                                   Baylor University   2
                                  Belmont University   1
                                       Blinn College   2
                                      Boston College   2
                      Bowling Green State University   1
                            Brigham Young University   2
                                 Bucknell University   1
                                   Butler University   3
                 California State University, Fresno   3
             California State University, Long Beach   3
                         Central Michigan University   1
                                  Clemson University   2
                          Cleveland State University   1
                               College of Charleston   1
                           Colorado State University   1
                                Creighton University   3
                                    Davidson College   1
                                     Duke University  20
                       Eastern Washington University   1
                            Florida State University   1
                               Georgetown University   7
                     Georgia Institute of Technology   6
                            Georgia State University   1
                                  Gonzaga University   2
                                  Harvard University   1
                                  Indiana University   4
   Indiana University-Purdue University Indianapolis   1
                               Iowa State University   1
                             Kansas State University   1
                                 La Salle University   1
                                   Lehigh University   1
                          Louisiana State University   7
                           Louisiana Tech University   1
                                Marquette University   6
                                 Marshall University   1
                           Michigan State University   7
                           Morehead State University   1
                             Murray State University   2
                            Norfolk State University   1
                     North Carolina State University   4
                             Northeastern University   1
                               Ohio State University   5
                           Oklahoma State University   4
                             Old Dominion University   1
                             Oregon State University   3
                       Pennsylvania State University   2
                                  Providence College   2
                                   Purdue University   2
                                    Rider University   2
                           Saint Joseph's University   2
                              Saint Louis University   1
                  Saint Mary's College of California   2
                          San Diego State University   2
                          St. Bonaventure University   1
                               St. John's University   4
                                 Stanford University   5
                                 Syracuse University   8
                                   Temple University   1
                          Tennessee State University   1
                                Texas A&M University   3
                                   Towson University   1
                               University of Alabama   3
                 University of Alabama at Birmingham   1
                               University of Arizona  15
                              University of Arkansas   7
                            University of California   3
               University of California, Los Angeles  17
             University of California, Santa Barbara   3
                            University of Cincinnati   4
                              University of Colorado   4
                           University of Connecticut   7
                                University of Dayton   3
                         University of Detroit Mercy   2
                               University of Florida  11
                               University of Georgia   1
                               University of Houston   1
          University of Illinois at Urbana-Champaign   2
                                  University of Iowa   1
                                University of Kansas  21
                              University of Kentucky  22
                University of Louisiana at Lafayette   1
                            University of Louisville   4
                              University of Maryland   3
                               University of Memphis   4
                                 University of Miami   2
                              University of Michigan   6
                             University of Minnesota   3
                              University of Missouri   4
                     University of Nevada, Las Vegas   5
                          University of Nevada, Reno   3
                            University of New Mexico   2
                        University of North Carolina  18
                            University of Notre Dame   2
                              University of Oklahoma   1
                                University of Oregon   2
                            University of Pittsburgh   3
                          University of Rhode Island   1
                              University of Richmond   1
                   University of Southern California   8
                             University of Tennessee   8
                       University of Texas at Austin  10
                                  University of Utah   4
                              University of Virginia   3
                            University of Washington   8
                             University of Wisconsin   5
                               University of Wyoming   1
                           Utah Valley State College   1
                               Vanderbilt University   3
                                Villanova University   5
                    Virginia Commonwealth University   3
 Virginia Polytechnic Institute and State University   3
                              Wake Forest University   7
                         Washington State University   2
                              Weber State University   1
                                      Westchester CC   1
                         Western Carolina University   2
                         Western Kentucky University   3
                         Western Michigan University   1
                            Wichita State University   1
                                   Xavier University   1
                                                <NA> 158
[1] "Number"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00    6.00   13.00   17.55   25.00   99.00      67 
[1] "Height"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
  1.560   1.860   1.980   1.981   2.070   2.230      67 
[1] "Weight"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
  73.03   90.72   99.79  100.10  108.90  139.20      67 
[1] "Birth.Date"
        Min.      1st Qu.       Median         Mean      3rd Qu.         Max.         NA's 
"1976-03-19" "1985-12-27" "1989-06-16" "1988-10-29" "1992-02-28" "1996-10-30"         "67" 
[1] "Experience"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
  0.000   1.000   4.000   4.926   7.000  20.000      67 
[1] "Rank_Totals"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
  1.000   5.000   9.000   9.485  14.000  28.000      67 
[1] "Age"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
  19.00   23.00   26.00   26.72   30.00   39.00      67 
[1] "Games"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   1.00   26.75   55.00   49.39   74.00   82.00      67 
[1] "Games_Started"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00    1.00    7.00   23.30   45.25   82.00      67 
[1] "Minutes_Played"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
      3     314    1003    1127    1833    3125      67 
[1] "Field_Goals"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00   38.25  132.00  178.20  264.00  805.00      67 
[1] "Field_Goal_Attempts"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
    0.0    88.0   301.0   394.0   599.2  1617.0      67 
[1] "Field_Goal_Percentage"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
  0.000   0.400   0.438   0.444   0.481   1.000      70 
[1] "X3.Point_Field_Goals"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00    1.00   18.00   39.68   62.00  402.00      67 
[1] "X3.Point_Field_Goal_Attempts"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
    0.0     6.0    53.0   112.2   181.8   886.0      67 
[1] "X3.Point_Field_Goal_Percentage"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
 0.0000  0.2500  0.3290  0.2975  0.3760  1.0000     120 
[1] "X2.Point_Field_Goals"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
    0.0    27.0   102.5   138.5   209.2   650.0      67 
[1] "X2.point_Field_Goal_Attempts"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00   58.75  206.00  281.80  420.00 1238.00      67 
[1] "X2.Point_Field_Goal_Percentage"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
 0.0000  0.4338  0.4760  0.4796  0.5262  1.0000      75 
[1] "Effective_Field_Goal_Percentage"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
 0.0000  0.4550  0.4940  0.4921  0.5330  1.5000      70 
[1] "Free_Throws"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00   15.75   47.00   82.37  113.20  720.00      67 
[1] "Free_Throw_Attempts"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00   21.75   62.00  108.80  153.50  837.00      67 
[1] "Free_Throw_Percentage"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
 0.0000  0.6740  0.7580  0.7393  0.8270  1.0000      90 
[1] "Offensive_Rebounds"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00    9.00   27.00   48.53   62.00  395.00      67 
[1] "Defensive_Rebounds"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
    0.0    40.0   115.0   155.3   224.0   803.0      67 
[1] "Total_Rebounds"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
    0.0    50.0   146.5   203.9   290.5  1198.0      67 
[1] "Assists"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
    0.0    19.0    62.5   103.8   138.5   839.0      67 
[1] "Steals"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00    9.75   26.00   36.56   54.25  169.00      67 
[1] "Blocks"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00    3.00   13.00   23.09   28.25  269.00      67 
[1] "Turnovers"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00   16.00   49.00   64.27   94.00  374.00      67 
[1] "Personal.Fouls"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   0.00   32.75   91.50   94.42  148.00  258.00      67 
[1] "Points"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
    0.0   103.8   341.5   478.4   740.8  2376.0      67 
[1] "Rank_Salary"
   Min. 1st Qu.  Median    Mean 3rd Qu.    Max.    NA's 
   1.00    5.00   10.00   10.06   15.00   24.00      32 
[1] "Salary"
    Min.  1st Qu.   Median     Mean  3rd Qu.     Max.     NA's 
    8819   845100  2100000  4179000  5500000 25000000       32 
